prompt,intent
Can I reserve a table for two people at 7 PM tomorrow?,BookTable
I would like to book a table for six at your rooftop section this Saturday.,BookTable
Please book a spot for three for lunch on Friday at 1 PM.,BookTable
Can you reserve a table for a family of five for dinner at 8 PM tonight?,BookTable
We need a reservation for eight people for a celebration this Sunday at 6 PM.,BookTable
Can you schedule a table for a date night for two at 7 PM next Friday?,BookTable
Can I book a private dining area for ten guests this Wednesday at 8 PM?,BookTable
Reserve a table by the window for four for dinner at 7:30 PM tonight.,BookTable
Please book a table for a small group of six for brunch this weekend.,BookTable
I want to reserve a table for two with a view of the garden at 6 PM.,BookTable
Could you schedule a dinner table for two people tomorrow night?,BookTable
Please confirm a table for ten in your VIP lounge this Saturday at 8 PM.,BookTable
We need a quiet table for six for a business meeting at 12 PM on Thursday.,BookTable
Can I reserve an outdoor table for three on Sunday at 7 PM?,BookTable
Can you book a table for my anniversary dinner at 8 PM on Monday?,BookTable
Reserve a corner table for four this Saturday at 7 PM.,BookTable
I want a reservation for two with a special request for vegan options.,BookTable
Can you schedule a birthday dinner for six at 7 PM next Wednesday?,BookTable
Please book a table for three for high tea on Friday at 3 PM.,BookTable
Can I have a table for a family of four for breakfast at 9 AM tomorrow?,BookTable
Can you reserve a table for two for our monthly dinner date at 7 PM?,BookTable
Book a table for a surprise proposal dinner for two this weekend at 6 PM.,BookTable
Schedule a brunch table for eight this Sunday at 11 AM.,BookTable
Reserve a booth for four for lunch tomorrow at 1 PM.,BookTable
We need a dinner table for five ?,BookTable
Can you provide me with the address of the restaurant?,AskLocationDetails
Is your restaurant located near any public transport facilities?,AskLocationDetails
Where exactly is the rooftop section located?,AskLocationDetails
Can you give me directions to the restaurant?,AskLocationDetails
Is there parking available at the restaurant?,AskLocationDetails
What is the nearest landmark to your restaurant?,AskLocationDetails
Do you offer valet parking services?,AskLocationDetails
How far is the restaurant from the city center?,AskLocationDetails
Is there any metro station close to your location?,AskLocationDetails
Can you confirm the location for your outdoor seating?,AskLocationDetails
Is the restaurant accessible for wheelchairs?,AskLocationDetails
Do you have a map of the restaurant layout?,AskLocationDetails
Are there any famous attractions near your restaurant?,AskLocationDetails
What is the easiest route to reach your restaurant?,AskLocationDetails
Do you offer pick-up services for guests?,AskLocationDetails
Is there a bicycle parking area near the restaurant?,AskLocationDetails
Can you send me the GPS coordinates for your location?,AskLocationDetails
What is the best way to reach the restaurant from the airport?,AskLocationDetails
Is your restaurant located inside a mall or stand-alone?,AskLocationDetails
Can you provide walking directions from the nearest bus stop?,AskLocationDetails
Are there signs leading to the restaurant from the main road?,AskLocationDetails
What is the distance to your restaurant from the train station?,AskLocationDetails
Do you have a shuttle service for group bookings?,AskLocationDetails
Can I find your location on popular map applications?,AskLocationDetails
What is the street name and number of your restaurant?,AskLocationDetails
Can you send me a copy of the menu?,AskMenuDetails
Do you have any special dishes for the day?,AskMenuDetails
Are there any vegan options on the menu?,AskMenuDetails
Do you serve gluten-free meals?,AskMenuDetails
What is the most popular dish in the restaurant?,AskMenuDetails
Do you offer kidsâ€™ meals on the menu?,AskMenuDetails
Can I customize my order from the menu?,AskMenuDetails
Are there any seasonal specials currently available?,AskMenuDetails
What beverages do you serve in the restaurant?,AskMenuDetails
Do you have a fixed menu for group bookings?,AskMenuDetails
Can you recommend some starters from the menu?,AskMenuDetails
Are there any dishes with low calorie counts?,AskMenuDetails
Do you serve halal-certified meat dishes?,AskMenuDetails
Is there a dessert section on the menu?,AskMenuDetails
Are there any chefâ€™s specials for dinner?,AskMenuDetails
Can you provide a wine pairing for the menu items?,AskMenuDetails
Are there discounts on specific menu items today?,AskMenuDetails
Do you serve breakfast items all day?,AskMenuDetails
Are there any vegetarian appetizers available?,AskMenuDetails
Do you offer sample platters for large groups?,AskMenuDetails
What are your options for seafood lovers?,AskMenuDetails
Are there spicy dishes available on the menu?,AskMenuDetails
Can you suggest a complete meal combination?,AskMenuDetails
What are the serving sizes of your main courses?,AskMenuDetails
Do you have options for lactose-intolerant guests?,AskMenuDetails
What dishes do you offer?,AskMenuDetails
Can I change my reservation from 7 PM to 8 PM?,ModifyBooking
I need to add two more people to my reservation.,ModifyBooking
Can I modify my booking to include a request for a vegan menu?,ModifyBooking
Can I shift my reservation to another date?,ModifyBooking
